"";"jahr";"person_id";"geschlecht";"zeit"
"175";2019;4020;"w";50,15
"176";2019;4113;"m";23,25
"177";2019;4146;"m";24,41
"178";2019;4125;"m";25,15
"179";2019;4126;"m";26,03
"180";2019;4092;"m";26,54
"181";2019;4040;"m";27,23
"182";2019;4035;"m";28,39
"183";2019;4121;"m";29,11
"184";2019;4065;"m";29,14
"185";2019;4140;"m";29,3
"186";2019;4153;"m";29,54
"187";2019;4026;"m";29,55
"188";2019;4154;"m";29,59
"189";2019;4141;"m";30,59
"190";2019;4123;"m";31,19
"191";2019;4080;"m";31,37
"192";2019;4156;"m";31,49
"193";2019;4132;"m";32,28
"194";2019;4043;"m";33,1
"195";2019;4145;"m";33,1
"196";2019;4164;"m";34,41
"197";2019;4144;"m";35,3
"198";2019;4101;"m";37,37
"199";2019;4009;"m";38,22
"200";2019;4015;"m";38,29
"201";2019;4110;"m";39,1
"202";2019;4087;"m";39,11
"203";2019;4042;"m";39,34
"204";2019;4027;"m";42,06
"205";2019;4057;"m";50,11
